"Country or Area","Year","Coverage","Source","Type","Value","Value Footnotes"
"Philippines","2008","Total coverage","Labour force survey","Unemployed","7.4","1"
"Poland","2008","Total coverage","Labour force survey","Unemployed","7.1","25"
"Poland","2008","Registered unemployment","Employment office records","Unemployed","9.5","37,46"
"Portugal","2008","Total coverage","Labour force survey","Unemployed","7.6","1"
"Puerto Rico","2008","Total coverage","Labour force survey","Unemployed","11.5","39,47"
"Réunion","2008","Total coverage","Labour force survey","Unemployed","24.5","1,29"
"Romania","2008","Total coverage","Labour force survey","Unemployed","5.8","1"
"Romania","2008","Registered unemployment","Employment office records","Unemployed","4.4","1,3"
"Russian Federation","2008","Total coverage","Labour force survey","Unemployed","6.3","48"
"Russian Federation","2008","Registered unemployment","Employment office records","Unemployed","2","3"
"Saudi Arabia","2008","Total coverage","Labour force survey","Unemployed","5","1"
"Serbia","2008","Total coverage","Labour force survey","Unemployed","13.63","1,10"
"Singapore","2008","Total coverage","Labour force survey","Unemployed","4","49,50"
"Slovakia","2008","Total coverage","Labour force survey","Unemployed","9.6","1,51"
"Slovakia","2008","Registered unemployment","Employment office records","Unemployed","7.7","1"
"Slovenia","2008","Total coverage","Labour force survey","Unemployed","4.2","1,29"
"South Africa","2008","Total coverage","Labour force survey","Unemployed","22.9","27"
"Spain","2008","Total coverage","Labour force survey","Unemployed","11.34","31"
"Spain","2008","Registered unemployment","Employment office records","Unemployed","11.116575916","36"
"Sri Lanka","2008","Total coverage","Labour force survey","Unemployed","5.2","44,52"
"Sweden","2008","Total coverage","Labour force survey","Unemployed","6.2","53"
"Sweden","2008","Registered unemployment","Employment office records","Unemployed","2.5","1"
"Switzerland","2008","Total coverage","Labour force survey","Unemployed","3.4","1,29"
"Switzerland","2008","Registered unemployment","Employment office records","Unemployed","2.6","1"
"Thailand","2008","Total coverage","Labour force survey","Unemployed","1.2","1,13"
"Trinidad and Tobago","2008","Total coverage","Labour force survey","Unemployed","4.6","1"
"Turkey","2008","Total coverage","Labour force survey","Unemployed","11","1"
"Ukraine","2008","Total coverage","Labour force survey","Unemployed","6.4","54"
"Ukraine","2008","Registered unemployment","Employment office records","Unemployed","4.1","4,37"
"United Arab Emirates","2008","Total coverage","Labour force survey","Unemployed","4.009","1,55"
"United Kingdom","2008","Total coverage","Labour force survey","Unemployed","5.3","39,56"
"United States","2008","Total coverage","Labour force survey","Unemployed","5.8","39"
"Venezuela, Bolivarian Rep. of","2008","Total coverage","Labour force survey","Unemployed","6.9","1,57"
"West Bank and Gaza Strip","2008","Total coverage","Labour force survey","Unemployed","25.7","44"
